origin,destination,carrier,class,points
North America,North America,United Airlines,economy,10000
North America,North America,United Airlines,first,25000
North America,Mexico,United Airlines,economy,17500
North America,Mexico,United Airlines,first,30000
North America,Caribbean,United Airlines,economy,17500
North America,Caribbean,United Airlines,first,30000
North America,Central America,United Airlines,economy,17500
North America,Central America,United Airlines,first,30000
North America,Northern South America,United Airlines,economy,20000
North America,Northern South America,United Airlines,first,35000
North America,Southern South America,United Airlines,economy,30000
North America,Southern South America,United Airlines,first,60000
North America,Europe,United Airlines,economy,30000
North America,Europe,United Airlines,first,60000
North America,Middle East,United Airlines,economy,42500
North America,Middle East,United Airlines,first,75000
North America,Northern Africa,United Airlines,economy,40000
North America,Northern Africa,United Airlines,first,70000
North America,Central & Southern Africa,United Airlines,economy,40000
North America,Central & Southern Africa,United Airlines,first,70000
North America,North Asia,United Airlines,economy,35000
North America,North Asia,United Airlines,first,70000
North America,Central Asia,United Airlines,economy,42500
North America,Central Asia,United Airlines,first,75000
North America,South Asia,United Airlines,economy,35000
North America,South Asia,United Airlines,first,70000
North America,Japan,United Airlines,economy,35000
North America,Japan,United Airlines,first,70000
North America,Oceania,United Airlines,economy,40000
North America,Oceania,United Airlines,first,80000
Mexico,North America,United Airlines,economy,17500
Mexico,North America,United Airlines,first,30000
Mexico,Mexico,United Airlines,economy,8000
Mexico,Mexico,United Airlines,first,25000
Mexico,Caribbean,United Airlines,economy,15000
Mexico,Caribbean,United Airlines,first,20000
Mexico,Central America,United Airlines,economy,15000
Mexico,Central America,United Airlines,first,20000
Mexico,Northern South America,United Airlines,economy,15000
Mexico,Northern South America,United Airlines,first,25000
Mexico,Southern South America,United Airlines,economy,25000
Mexico,Southern South America,United Airlines,first,45000
Mexico,Europe,United Airlines,economy,35000
Mexico,Europe,United Airlines,first,65000
Mexico,Middle East,United Airlines,economy,45000
Mexico,Middle East,United Airlines,first,75000
Mexico,Northern Africa,United Airlines,economy,50000
Mexico,Northern Africa,United Airlines,first,80000
Mexico,Central & Southern Africa,United Airlines,economy,55000
Mexico,Central & Southern Africa,United Airlines,first,85000
Mexico,North Asia,United Airlines,economy,37500
Mexico,North Asia,United Airlines,first,75000
Mexico,Central Asia,United Airlines,economy,50000
Mexico,Central Asia,United Airlines,first,80000
Mexico,South Asia,United Airlines,economy,45000
Mexico,South Asia,United Airlines,first,85000
Mexico,Japan,United Airlines,economy,37500
Mexico,Japan,United Airlines,first,75000
Mexico,Oceania,United Airlines,economy,45000
Mexico,Oceania,United Airlines,first,85000
Caribbean,North America,United Airlines,economy,17500
Caribbean,North America,United Airlines,first,30000
Caribbean,Mexico,United Airlines,economy,15000
Caribbean,Mexico,United Airlines,first,20000
Caribbean,Caribbean,United Airlines,economy,8000
Caribbean,Caribbean,United Airlines,first,25000
Caribbean,Central America,United Airlines,economy,12500
Caribbean,Central America,United Airlines,first,20000
Caribbean,Northern South America,United Airlines,economy,12500
Caribbean,Northern South America,United Airlines,first,20000
Caribbean,Southern South America,United Airlines,economy,20000
Caribbean,Southern South America,United Airlines,first,40000
Caribbean,Europe,United Airlines,economy,35000
Caribbean,Europe,United Airlines,first,65000
Caribbean,Middle East,United Airlines,economy,45000
Caribbean,Middle East,United Airlines,first,75000
Caribbean,Northern Africa,United Airlines,economy,50000
Caribbean,Northern Africa,United Airlines,first,80000
Caribbean,Central & Southern Africa,United Airlines,economy,55000
Caribbean,Central & Southern Africa,United Airlines,first,85000
Caribbean,North Asia,United Airlines,economy,37500
Caribbean,North Asia,United Airlines,first,75000
Caribbean,Central Asia,United Airlines,economy,50000
Caribbean,Central Asia,United Airlines,first,80000
Caribbean,South Asia,United Airlines,economy,45000
Caribbean,South Asia,United Airlines,first,85000
Caribbean,Japan,United Airlines,economy,37500
Caribbean,Japan,United Airlines,first,75000
Caribbean,Oceania,United Airlines,economy,45000
Caribbean,Oceania,United Airlines,first,80000
Central America,North America,United Airlines,economy,17500
Central America,North America,United Airlines,first,30000
Central America,Mexico,United Airlines,economy,15000
Central America,Mexico,United Airlines,first,25000
Central America,Caribbean,United Airlines,economy,12500
Central America,Caribbean,United Airlines,first,20000
